Category,Number,Name,Description,Width,Weight,Vibration Tolerance (Operating),Vibration Tolerance (Non-operating),UPC,Tier,Temperature (Operating Minimum),Temperature (Operating Maximum),Technical Notes,Tagged Solutions,Tagged Industries,Tagged Applications,System Monitoring,Suitable Environments,SSD Write Speed,SSD SATA Interface,SSD Read Speed,SSD Options,SSD Flash RAM Type,SSD Disk Features,SSD Capacity,S/W Subscription Certifications,Short Description,Shock Tolerance (Operating),Shock Tolerance (Non-operating),Shipping Width,Shipping Length,Shipping Height,Series,Reporting Category,Regulatory Restrictions,Regulatory Notes,Regulatory Certifications,Product Change Notes,Processor Turbo Frequency Maximum,Processor Tjunction/Tmax (Intel),Processor Threads,Processor TDP,Processor Socket,Processor Model,Processor Generation,Processor Features,Processor Cores,Processor Clock Speed,Processor Cache,Power Input Connector,Power Cord Length,Power Conversion Note,Power Consumption,Power Cable Coupler,Power Automotive Features,Power AC Frequency Minimum,Power AC Frequency Maximum,Partner,Parent Model Number,Output Voltage Minimum,Output Voltage Maximum,Output Power Minimum,Output Power Maximum,Output Current Minimum,Output Current Maximum,OS Minimum Footprint,Origin System,Optical Drive Bay,Digi Product ID,Number of Monitor Supported,Networking Type,Network Standards,Motherboard Raid Support,Motherboard Form Factor,Motherboard Chipset,Mobile Frequency Bands,Meta Title,Meta Description,RAM Type,RAM Speed,RAM Slots Count,RAM Channels,RAM Capacity,Marketing Description,Manufacturer Warranty,Manufacturer Product Link,Manufacturer Launch Date,Manufacturer Expected Lifecycle,Lifecycle Status,Length,Launch Date,LAN Ports,LAN Controller,Is Consigned,Input/Output (dictionary),Input Voltage Minimum,Input Voltage Maximum,Input Power Minimum,Input Power Maximum,Input Current Minimum,Input Current Maximum,Included Accessories,Humidity (Operating Minimum),Humidity (Operating Maximum),HTS Code,Height,Heat Sink Air Flow,Hardware Line,GTIN,Graphics/GPU,Fan Bearing Type,Fan Bearing RPM,Expected Lifespan,Expansion Wireless Frequency Minimum,Expansion Wireless Frequency Maximum,Expansion Slot Count,Expansion Options,Expansion Mobile Carriers,Expansion Daughterboard Type,Expansion Acoustics,End of Life Date,eas test column 1,EAN (deprecated),Display Viewing Angle,Display Touchscreen Type,Display Screen Size,Display Resolution,Display Mounting Options,Display Contrast Ratio,Display Brightness,Display Aspect Ratio,Defining Spec 3,Defining Spec 2,Defining Spec 1,DC Output Cord Length,Customer Facing Short Name,Customer Facing Name,Custom Robots,Cooling Type,Connectivity,Case Type (Chassis),Case Port Punchouts,Case Mounting Options,Case Material,Case Expansion Slots,Case Color,Cable Type,Cable DC Connector,Cable Connectors,Brand,Benefit 3,Benefit 2,Benefit 1,Media,Bundle,Variant,Relations →,Power Options,Mounting,Mounting Options,Assembly & Validation Options,Assembly & Validation,Operating System Options,Operating System,Wi-Fi / Bluetooth Antenna,Sales Motherboard Options,Wireless/Bluetooth,Wireless/Bluetooth Options,Power Input,Power Input Options,Secondary SSD Drive,Secondary SSD Drive Options,Case,Customizations,Customization Options,Heat Sink,Warranty,Warranty Options,Controlled by,SSD Drive,SSD Drive Options,RAM,RAM Options,Processor,Processor Options,Motherboard,Motherboard Options,Depends on,Not compatible,Compatible
master_catalog;physical_products;components;PC,AI200G,Digi Helix 500 Intel PC,Digi Helix 500 Intel PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,AI200,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_Wireless Service,SV-HWAutoPWR,Auto Power On,Set System to Auto Power On via Jumper/Dip Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_Warranty,WAS2,3 Year Extended Warranty - Advanced Socket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,AI350;AI200,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,AWS-UBUNTU-18.04-64,AWS IoT Greengrass with Ubuntu 18.04 LTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,ubuntu20.04-64,Ubuntu Desktop 20.04 LTS 64-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,Win1064-Home,Microsoft Windows 10 Home - 64-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,Win1064-Pro,Microsoft Windows 10 Pro - 64-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,Win10-IoT-2019-HE-64,"Windows 10 IoT Enterprise 2019 LTSC High End (i7, Xeon) - 64 Bit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,Win10-IoT-2019-V-64,Windows 10 IoT Enterprise 2019 LTSC Value (Celeron/i3/i5) - 64 Bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_S/W Subscription,ubuntu18.04-64,Ubuntu Desktop 18.04 LTS 64-bit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,AI350;AI200,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;physical_products;components;graphic_cards,KWPTCV0-19,"Wireless Pigtail Cable for M.2, 250mm (9.8"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;physical_products;components;motherboards;motherboards_with_processor_socket,EXM501-P,Motherboard with AF580 Chipset,,,0.7045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2020-05-12 DP - product duplicated from ROMED8-2T-P per https://erp.Digi.com/web#id=36147&view_type=form&model=project.task&action=619&active_id=83&menu_id=608
2020-06-16 DP - product set to pre-order
2020-07-14 DP - product made sellable per https://docs.google.com/spreadsheets/d/1slj9ZVcApUzqEpnshOVAgOEk9Xal2aI5v2WCG877YgU/edit#gid=1540167290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3 Display Ports - Front;1 SIM Card - Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI350;AI200,,,,
master_catalog;virtual_products;virtual_Wireless Service,V_B&T_AFR,Rush Build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_Wireless Service,V_B&T_AF,Standard Build,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,AI350;AI200,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_Warranty,5-warranty,5 Year Extended Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;virtual_products;virtual_Warranty,WARR0,2 Year Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,AI350;AI200,AI350;AI200,,,,,,,,,,,,
master_catalog;virtual_products;virtual_Warranty,WARR,Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WARR0;5-warranty,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;physical_products;components;accessories;power_supplies,GST220A20-R7B-K,"Power Adapter DC 220 W, 20 V, 11 A - North American Power Cord",,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,220,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;physical_products;components;processors,10_00T,Intel Core Processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,100,,,FCLGA1200,Core,10th Generation,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,30 Day Warranty,,,,,,,,,,,,,,,,,,,,,,,,,Intel UHD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i5-10500T;i7-10700T;i9-10900T;i3-10300T,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI350;AI200,,,,,
master_catalog;physical_products;components;processors,i5-10500T,Intel Core i5-10500T  Processor - 2.3 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,100,,,FCLGA1200,Core,10th Generation,,6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,30 Day Warranty,,,,,,,,,,,,,,,,,,,,,,,,,Intel UHD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI350;AI200,,,,,
master_catalog;physical_products;components;processors,i7-10700T,Intel Core i7-10700T Processor 2.0 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,100,,,FCLGA1200,Core,10th Generation,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,30 Day Warranty,,,,,,,,,,,,,,,,,,,,,,,,,Intel UHD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI350;AI200,,,,,
master_catalog;physical_products;components;processors,i9-10900T,Intel Core i9-10900T  Processor 1.90 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,100,,,FCLGA1200,Core,10th Generation,,10,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,30 Day Warranty,,,,,,,,,,,,,,,,,,,,,,,,,Intel UHD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI350;AI200,,,,,
master_catalog;physical_products;components;processors,i3-10300T,Intel Core i3-10300T Processor -  3.0 GHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,100,,,FCLGA1200,Core,3rd Generation,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,30 Day Warranty,,,,,,,,,,,,,,,,,,,,,,,,,Intel UHD Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,AI350;AI200,,,,,
master_catalog;physical_products;components;RAM,TS1GSH64V2B-I,DDR4 3200 RAM - 8GB,,,,,,,,0,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDR4 SO-DIMM (non-ECC),2133,,,8,,Lifetime Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,AI350;AI200,,,,,,,
master_catalog;physical_products;components;RAM,TS512MSH64V6H-I,DDR4 2666 RAM - 4GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDR4 SO-DIMM (non-ECC),2666,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,AI350;AI200,AI350;AI200,,,,,,,
master_catalog;physical_products;components;RAM,TS2GSH64V2B-I,DDR4 3200 RAM - 16GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDR4 SO-DIMM (non-ECC),3200,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,AI350;AI200,,,,,,,
master_catalog;physical_products;components;SSD;SSD_ssd,TRSM2SSD,Transcend M.2 SATA SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;physical_products;components;SSD;SSD_ssd,TS64GMTS800,64GB Transcend M.2 2280-D2-B-M SATA SSD,,,,,,,,,,,,,,,,80,6.0 Gb/second,520,,MLC NAND Flash,,64000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Year Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,AI350;AI200,,,,,,,,AI350;AI200,AI350;AI200,,,,,,,,,
master_catalog;physical_products;components;speaker,HS-SBC-210D,ASRock SBC-210D Heatsink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;physical_products;components;graphic_cards,ADP114-AI350-K,4-pin Terminal Block Power Input for Helix AI350,,,0.0995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;physical_products;components;accessories;power_adapters,GST220A20-R7B,Mean Well Power Adapter 220W 20V 11A with Locking 4-Pin DIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;physical_products;components;accessories;power_cables,PwrNSC13-6,"North American Power Cord, Straight C13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;physical_products;charger,INT-9260-K,Intel M.2 2230  802.11ac Wi-Fi Bluetooth 5.1 Card with Cables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INT-9260;KWPTCV0-19,,Relations →,,,,,,,,,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,
master_catalog;physical_products;components;accessories;antennas,FAB340,"Dual-Band Wireless 6.3"" Terminal PIFA Antenna",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,INT-9260-K,,
master_catalog;physical_products;components;SSD;SSD_ssd,AI0808AFG9i409,128GB Transcend M.2 2280-D2-B-M SATA SSD,,,,,,,,,,,,,,,,80,6.0 Gb/second,520,,MLC NAND Flash,,128000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Year Warranty,http://www.transcend-info.com/Products/No-644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,AI350;AI200,,,,,,,,,AI350;AI200,,,,,,,,,
master_catalog;physical_products;components;SSD;SSD_ssd,AI6955GHK63843,256GB Transcend M.2 2280-D2-B-M SATA SSD,,,,,,,,,,,,,,,,80,6.0 Gb/second,520,,MLC NAND Flash,,256000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Year Warranty,http://www.transcend-info.com/Products/No-644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,AI350;AI200,,,,,,,,,AI350;AI200,,,,,,,,,
master_catalog;physical_products;components;SSD;SSD_ssd,TS512GMTS952T2,512GB Transcend M.2 2280-D2-B-M SATA SSD,,,,,,,,,,,,,,,,80,6.0 Gb/second,520,,MLC NAND Flash,,512000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Year Warranty,http://www.transcend-info.com/Products/No-644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,AI350;AI200,,,,,,,,,AI350;AI200,,,,,,,,,
master_catalog;physical_products;components;SSD;SSD_ssd,TS1TMTS952T2,1TB Transcend M.2 2280-D2-B-M SATA SSD,,,,,,,,,,,,,,,,80,6.0 Gb/second,520,,MLC NAND Flash,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Year Warranty,http://www.transcend-info.com/Products/No-644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,AI350;AI200,,,,,,,,,AI350;AI200,,,,,,,,,
master_catalog;physical_products;components;SSD;SSD_ssd,TS2TMTS952T2,2TB Transcend M.2 2280-D2-B-M SATA SSD,,,,,,,,,,,,,,,,80,6.0 Gb/second,520,,MLC NAND Flash,,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Year Warranty,http://www.transcend-info.com/Products/No-644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,,,,,,,,,,,,,AI350;AI200,,,,,,,,,AI350;AI200,,,,,,,,,
master_catalog;physical_products;components;accessories;mounting_hardware,MTW102,Wall Mounting Brackets for Digi Systems (Silver),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
master_catalog;physical_products;components;accessories;mounting_hardware,MTW102-K,"DIN Rail Mounting Clip Set with Brackets - Long, Silver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relations →,,,AI350;AI200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,